;Nuevo ID;Titulo_de_Documento;Abstract;Titulo_Revista;Ano;Tipo_Documento;Disciplina;Test;key1;key2;key3;key4;key5;Categoria_1;Frecuencia_1;j_1;Porcentaje;Cluster_15;Cluster_8;Cluster_20;lda_10;lda_30;lda_45
909;1943;Lessons from scaling up a depression treatment program in primary care in Chile;In Chile, the National Depression Detection and Treatment Program (National Program for the Diagnosis and Treatment of Depression, PNDTD) in primary care is a rare example of an evidence-based Mental Health Program That was scaled up to the national level in a low- or middle-income country. This retrospective study qualitative Aimed to Better Understand how policymakers made the decision to scale up mental health services to the national level, and to explore the elements, contexts, and Processes That Facilitated the decision to Implement and sustain PNDTD. In-depth semistructured Interviews with Key Informants six selected through intentional sampling Were Conducted in August-December 2008. Interviewees Were senior officers at the Ministry of Health WHO Were Directly Involved in the decision to scale up the program. Results yielded four elements pivotal to the decisionmaking process: scientific evidence, teamwork and leadership, strategic alliances, and institutionalization program. Each element Contributed to building consensus, securing funding, attracting resources, and gaining support from policymakers lasting. Additionally, a review of available documentation led the authors to Consider sociopolitical context and use of the media to be Important factors. While research evidence for the effectiveness of mental health services in the primary care setting Continues to Accumulate, low- and middle-income countries Should get started on the lengthy process of scaling up by Incorporating the elements That led to decisionmaking and implementation of the PNDTD in Chile.;REVISTA PANAMERICANA DE SALUD PUBLICA-PAN AMERICAN JOURNAL OF PUBLIC HEALTH;2012;Artículo;Health policy & services;0;program;element;health;nation;scale;health;90;8;0.0199645075421473;14;1;14;1;28;6
910;1955;Wheat flour fortification with folic acid: Changes in neural tube defects rates in Chile;In January 2000, Chilean Ministry of Health mandated the Addition of folic acid (FA) in order to wheat flour to reduce the risk of neural tube defects (NTDs). This policy Resulted in significant Increases in serum and red cell folate in women of fertile age 1 year after fortification. To Evaluate the Effect of wheat flour fortification on the prevalence of NTDs in Chile we designed a prospective hospital-based surveillance program to monitor the frequency of NTDs in all births (live and stillbirths) With birth weight =500g at the nine public maternity hospitals of Santiago, Chile from 1999 to 2009. During the pre-fortification period (1999-2000) the NTD rate was 17.1 / 10,000 births in a total number of 120.566 newborns. During the post-fortification period (2001-2009) to the NTD rate Decreased 8.6 / 10,000 births in a Total of 489.915 newborns, Which translates into a reduction rate of 50% (RR: 0.5 95% CI: 0.42 to 0.59) for all NTDs. The rate reduction by type of NTD Studied was: 50% in anencephaly (RR: 0.5 95% CI: 0.38 to 0.67), 42% in cephalocele (RR 0.58 95% CI: 0.37 to 0.89), and 52% in spina bifida (RR 0.48 95% CI: 0.38 to 0.6). Rates showed significant reduction in stillbirths and Both live births: 510.3 to 183.6 / 10,000 (RR = 0.36 95% CI: 0.25 to 0.53) and 13.3 to 7.5 / 10,000 (RR = 0.56 95% CI: .47-.68), respectively . In Chile, fortification of wheat flour With FA has proven to be an effective strategy for the primary prevention of NTDs. © 2012 Wiley Periodicals, Inc.;AMERICAN JOURNAL OF MEDICAL GENETICS PART A;2012;Artículo;Health policy & services;0;birth;fortif;ntds;chile;flour;chile;52;15;0.0115350488021295;9;1;10;3;4;38
911;2815;Two-year controlled effectiveness trial of a school-based intervention to prevent obesity in Chilean children;Objective: Obesity prevalence is 19.4 Among Chilean children%. The present study Aimed to ASSESS the effectiveness of a school-based obesity prevention Program. Design: Non-randomized controlled study. The intervention included activities in nutrition and physical activity, the first year fully applied and partially in the second one. Primary outcomes Were BMI Z-score (BMIZ) and obesity prevalence Were secondary outcomes triceps skinfold waist circumference and thickness. Time effects Were Assessed by changes in BMI-related variables by gender and period (ANOVA and Tukey test), while intervention effects Were Determined by Comparing changes in (i) obesity prevalence by gender and period (PROC GENMOD) and (ii) BMIZ ACCORDING gender, age and period (PROC MIXED). Setting: Primary schools in the Chilean cities of Casablanca (intervention group) and Quillota (control group). Subjects: One thousand seven hundred and fifty-nine children from three schools (intervention group) and 671 from one school (control group). Results: Over the two years, obesity prevalence and BMIZ Declined Significantly in the intervention group from 17.0% to 12.3% and 14.1% to 10.3% in boys and girls, respectively, and from .62 to .53 and .64 to .58, respectively. In the Control group, obesity Remained stable at About 21% and 15%, while in the BMIZ Increased Significantly second year. BMIZ Declined in Both genders and all age categories in the intervention group During the first year (significant only in younger boys). No changes occurred During the summer, while the second year During, BMIZ Increased in boys and girls from Both groups (significant only in the younger boys Control). Obesity Declined Significantly only in the first year During boys. Conclusion: Effectiveness was greater in the first school year and more evident in younger boys. © The Authors 2008.;PUBLIC HEALTH NUTRITION;2009;Artículo;Health policy & services;0;obes;bmiz;boy;intervent;school;;0;0;0;15;3;16;3;21;19
912;2870;Geographical distribution of alcohol-attributable mortality in Chile: A Bayesian spatial analysis;Objective: To describe the distribution of alcohol attributable mortality (AAM) at the Local level (345 municipalities) in Chile, Including fully and partially attributable causes in 2009. Methods: AAM for the population was 15. Estimated years of age and older using Alcohol consumption per capita With combined survey estimates. The Effect of Alcohol on each cause of death was Extracted from the published scientific literature. We used Bayesian hierarchical models to Standardized Mortality Ratio smooth the for each municipality for six groups of causes related to alcohol-consumption (total, neuro-psychiatric, cardiovascular, cancer, injuries and other causes). Results: The percentage of high risk for municipalities With any group of causes in each region ranges from 0% to 87.0%. With high risk municipalities Were Concentrated in south-central and southern Chile for all groups of causes related to alcohol. Conclusions: AAM shows marked geographic risk Concentrations, mainly in south-central and southern regions of Chile. This combination of methods for small-area estimates of AAM is a powerful tool to Identify high risk regions and associated factors, and may be used to inform the local policies and programs. © 2014 Elsevier Ltd.;ADDICTIVE BEHAVIORS;2015;Artículo;Health policy & services;0;caus;alcohol;aam;municip;risk;risk;47;19;0.0104259094942325;9;2;9;1;10;22
913;2899;Long-Term Outcomes of a National Expanded Access Program to Antiretroviral Therapy: The Chilean AIDS Cohort;Objective: To Evaluate impact of the program after up to 6 years of follow-up in survival, virologic, and immunologic response. Methods: Prospective follow-up of Patients initiating highly active antiretroviral therapy first from 2001 to 2007. Chile Began in 2001 an expanded access program to antiretroviral therapy. The Chilean AIDS Cohort has enrolled> 85% of Patients From this program in the public health system. Statistical analysis: <U+03C7>, Fisher tests, survival, univariate and multivariate analysis. Results: Five thousand one hundred fifteen adults (16% women) median follow-up: 3.64 years (18,159 patient-years). At baseline: median age, 35.8 years 45.6% HAD clinical AIDS Mediate CD4 cell count, 102 cells per cubic millimeter. Global mortality, 9.0% loss to follow-up, 6.8%. Probability of survival at 1 and 5 years Were 0.95 and 0.89, respectively. First regime was maintained in 72% of Those alive and in monitoring at 1 year and 48% at end of study. Main reason for therapy change / discontinuation was drug toxicity (44.9%). At last visit, 74% of active viral suppression Patients ADH, CD4 cell count and mediate ADH cells per cubic Reached 301 millimeter. Conclusions: In this middle-income country, wide access highly active antiretroviral therapy has been successfully Implemented and EVALUATED. DESPITE advanced disease at initiation, survival, clinical, virologic, and immunologic outcomes comparable Have Been With That of Industrialized Countries. © 2 by Lippincott Williams & Wilkins.;JAIDS-JOURNAL OF ACQUIRED IMMUNE DEFICIENCY SYNDROMES;2010;Artículo;Health policy & services;0;follow;surviv;therapi;antiretrovir;program;;0;0;0;9;8;9;5;23;17
914;2995;Assessment of the implementation of the model of integrated and humanised midwifery health services in Santiago, Chile;Objectives: During 2007 the Chilean Ministry of Public Health Introduced the Model of Integrated Health Services and Humanized, in Addition to the Clinical Guide for Humanized Care During Delivery. Three years after STI implementation, a study was Conducted (i) to describe selected clinical outcomes of women WHO received care Within esta model, (ii) to Identify the degree of maternal-newborn well-being and (iii) to explore the perception of esta humanised During labor and delivery attention by professional staff Both the (Obstetricians and midwives) and consumers. Design and method: a cross-sectional, descriptive study using quantitative and qualitative methods Both Conducted With 508 women was delivered in two major WHO hospitals Within the National Health System in the metropolitan area of <U+200B><U+200B>Santiago, Chile, from September 2 Until June 2011. The Validated Methods included a quantitative survey of maternal well-being and an Adapted version of the American College of Nurse-Midwives (ACNM) antepartum and intrapartum Standardized data set. The qualitative methods included six focus groups discussions (fgds), with Midwives, Obstetricians and consumers. Additionally, two in depth interviews Were Carried Out with the directors of the maternity units. Findings: the quantitative findings Showed poor implementation of the guidelines: 92.7% of the women ADH medically induced labors (artificial rupture of the membranes and received oxytocin and epidural anesthesia), and almost one-third of the women reported almost Discontent With the Care They Received . The qualitative findings Showed That the main complaint was perceived by the midwives That the health system was highly hierarchical and medicalised and That the Obstetricians Were not engaged in esta modality of assistance. The women (Consumers) Highlighted That professionals (midwives and Obstetricians) Were highly technically skilled, and They felt confident in Their assistance. However, women receiving Complained About Inadequate treatment from staff These professionals. The Obstetricians Showed no self-critique, Stating That They always Expressed Concern for Their Patients and humanised That They provided professional assistance. Conclusions and Implications for practice: by illuminating the main strengths and weakness With regard to the application of the model, can help These findings to inform strategies and actions to Improve ITS implementation. © 2 Elsevier Ltd.;MIDWIFERY;2013;Artículo;Health policy & services;0;women;midwiv;obstetrician;find;health;health;90;8;0.0199645075421473;14;1;14;1;28;1
915;3038;The four-compartment model of body composition in obese Chilean schoolchildren, by pubertal stage: Comparison with simpler models;Objectives: We Assessed the agreement of body fat and fat-free mass Measured by simpler methods against the four-compartment model (4C). Methods: In 60 schoolchildren obese (body mass index =95th percentile) between the ages of 8 and 13y WHO Were Recruited from one school in Chile, multicompartmental body composition was the use of Estimated With isotopic dilution, plethysmography (BodPod), radiographic absorptiometry ( DEXA), and anthropometric equations. These results Were Compared to Those of the 4C model, Which is Considered the gold standard. Results: For body fat, the 4C model Showed the best agreement With DEXA for boys in Tanner stages I and II (r = 0.971) and With isotopic dilution for boys in Tanner stages III and IV (r = 0.984). The best agreement in girls occurred With isotopic dilution, pubertal stage of Regardless (r = 0.948 for Tanner stages I and II r = 0.978 for Tanner stages III and IV). Both isotopic dilution and the Huang, Ellis, and Deurenberg anthropometric equations in boys underestimated body fat by contrast, DEXA, BodPod, and the Slaughter equation overestimated body fat in boys. All of the equations underestimated body fat in girls. For fat-free mass in Both boys and girls, the 4C model Showed the best agreement With isotopic dilution, pubertal stage Regardless of. The Huang equation Showed the best agreement for boys (r = 0.730 for Tanner stages I and II r = 0.695 for Tanner stages III and IV) and for girls in Tanner stages I and II (r = 0.884). The Ellis equation had the best agreement for girls in Tanner stages III and IV (r = 0.917). Conclusions: For obese Chilean children of Both Sexes, isotopic dilution and DEXA Were the two-compartment methods That had the best agreement With the gold-standard model for Both 4C body fat and fat-free mass These Were followed by the Huang and Ellis anthropometric equations. © 2014 Elsevier Inc.;NUTRITION;2014;Artículo;Health policy & services;0;stage;fat;bodi;tanner;agreement;;0;0;0;15;3;12;3;21;19
916;3157;Twenty years of mental health policies in Chile: Lessons and challenges;Over the last 20 years, Chile has Increased share of the mental health budget and public health ITS Implemented policies Radically Transformed That psychiatric services in the country. Both national and international factors Have Contributed to this process. The implementation of two national mental health plans have led to downsizing Mental hospitals and developing community alternatives, Such as primary health care, mental health community teams, day hospitals, acute psychiatric beds in the general hospitals, and group homes. The annual number of new treatment for persons starting Mental disorders in the public sector, has Increased by 343 percent Between 2004 and 2007, with depression being the condition That motivates the highest frequency of visits. The Chilean experience has-been successful in terms of availability and accessibility of Increasing services and demonstrating with a modicum of That political support, it is possible to Implement an effective and efficient community-based network of primary and secondary care facilities. Notwithstanding the progress made in This Country, the mental health treatment gap is still significant. © 2012 M.E. Sharpe, Inc. All rights reserved.;International Journal of Mental Health;2012;Artículo;Health policy & services;0;health;mental;communiti;hospit;implement;health;90;8;0.0199645075421473;14;1;14;1;28;6
917;4086;How can the Developmental Origins of Health and Disease (DOHaD) hypothesis contribute to improving health in developing countries?;The relevance of Nutrition During Pregnancy and early infancy in defining short-term health and survival has-been well established. However, the Developmental Origins of Health and Disease (DOHaD) Provides a framework paradigm to ASSESS the effect of early nutrition and growth on long-term health. This body of literature shows That has significant Consequences early nutrition on later health and wellbeing. In this article, we briefly present the main Consequences of malnutrition That Affect human growth and development and how the DOHaD Consider Paradigm With its evolutionary implicaciones, might Contribute to better addressing the challenge of Improving nutrition. We examine how esta paradigm is in understanding the Particularly Appropriate health and nutrition transition in country clubs that face the double burden of nutrition-related diseases (acute malnutrition and obesity coexisting With other chronic diseases). We focus on stunting (low height-for-age) to examine the short- as well as long-term Consequences of early malnutrition with a life-course, transgenerational, and multidisciplinary perspective. We present current regional and overall prevalence of stunting and discuss the need to reposition maternal and infant nutrition not only in health and nutrition intervention programs but Also in consideration of the emerging research questions That Should be resolved to better orient program and policy decisions. © 2011 American Society for Nutrition.;AMERICAN JOURNAL OF CLINICAL NUTRITION;2011;Artículo;Health policy & services;0;nutrit;health;earli;consequ;malnutrit;health;90;8;0.0199645075421473;15;1;14;1;27;1
918;4201;Life grammars: the 1907 census and population as a tool of government;This article, based on the official census in Chile in 1907, notes ITS quantitative inaccuracies, reviewing the use of the category of population and Its detrimental impact on the Indians, emphasizing how it erases territorial the, political and identity conflicts That Traversed the tense relationship Between the nation-state and the Indians. The article studies how esta problematic at different historical moments shifted in Chilean Institutions, showing the different positions That DESPITE taken, it maintained the same epistemological and political configuration, compromising the implementation of public health policies in Chile. The figures of Orrego Luco, Murillo, Gonzalez and Allende are quoted in These analyzes and debates.;HISTORIA CIENCIAS SAUDE-MANGUINHOS;2013;Artículo;Health policy & services;0;articl;chile;indian;polit;allend;chile;52;15;0.0115350488021295;12;1;12;1;27;37
903;2402;Early-stage diffuse large B cell lymphoma of the head and neck: clinico-biological characterization and 18 year follow-up of 488 patients (IELSG 23 study);It is Known That extranodal head and neck diffuse large B cell lymphomas (DLBCL-EHN) can Affect various anatomical structures what is not well-known, however, they are in terms Whether They differ of clinical presentation and outcome. Clinical data of the multi-institutional series, the largest of Its kind as yet, has-been analysed With the aim of answering questions and providing open These long-term follow-up information. Data from 488 Patients Affected by stage I / II EHN-DLBCL was Collected: 300 of the Waldeyer's Ring (WR), 38 of the parotid and salivary glands (PSG), 48 of the thyroid gland (TG), 53 of the nasal cavity and paranasal sinuses (NPS), 24 of the palate and oral cavity (POC) and 25 more than one Involved With site. Different EHN-DLBCL Arising Have Distinct Characteristics at presentation. The intermediate high risk-modified IPI was 67% in TG, 44% in WR, 38% in PSG and POC and 20% in MS. The worst 5-year survival rate ADH TG-DLBCL (61%) due to the 61% of Patients with a MIPI> 1. The Addition of radiotherapy (CRT) to remitters did not translate into a survival advantage (5-year disease-free survival of 67% in the cRT group vs. 70% in the other). Three of four Central nervous system Recurrences occurred in NPS-DLBCL. Survival of HN-DLBCL DLBCL was inferior to Nodal. This study Showed That EHN-DLBCL remitters Have an inferior survival When Compared to nodal DLBCL, and That the Addition of cRT does not Provide a survival advantage. Since the standard of care chemo-immunotherapy is nowadays, survival of These Patients Might Have Been improved. © 2 Springer-Verlag Berlin Heidelberg.;ANNALS OF HEMATOLOGY;2014;Artículo;Hematology;0;dlbcl;surviv;ehn;crt;addit;;0;0;0;12;6;12;6;9;27
844;120;Role of Dendritic Cells in the Pathogenesis of Whipple's Disease;Accumulation of Tropheryma whipplei-stuffed macrophages in the duodenum, T. whipplei impaired Th1-specific responses, and weak secretion of interleukin-12 (IL-12) are hallmarks of classical Whipple's disease (CWD). This study addresses dendritic cell (DC) functionality During CWD. We documented composition, distribution, and functionality of DC ex vivo or after in vitro maturation by fluorescence-activated cell sorting (FACS) and immunohistochemistry by in situ. A decrease in peripheral DC of untreated healthy CWD Patients Compared To Donors was due to reduced CD11chigh myeloid DC (M-DC). Decreased CD83 maturation markers, CD86, and CCR7, as well as low IL-12 production in response to stimulation, an immature Disclosed M-DC phenotype. In vitro-generated monocyte-derived DC from CWD Showed Patients Normal maturation and T cell-stimulatory capacity under proinflammatory conditions but produced less IL-12 and failed to activate T. whipplei-specific Th1 cells. In duodenal and lymphoid tissues, was found whipplei T. Within immature DC-SIGN + DC. Were DC and proliferating lymphocytes in lymph nodes of reduced CWD levels in Patients Compared to controls. Our results Indicate That dysfunctional IL12 production by DC Provides suboptimal conditions for priming of T. whipplei-specific T cells and CWD During That immature DC carrying T. whipplei Contribute to the dissemination of the bacterium. © 2015, American Society for Microbiology.;INFECTION AND IMMUNITY;2015;Artículo;Infectious diseases;0;cwd;whipplei;immatur;matur;specif;;0;0;0;12;6;12;8;13;27
845;145;Long Polar Fimbriae of Enterohemorrhagic Escherichia coli O157:H7 Bind to Extracellular Matrix Proteins;Adherence to intestinal cells is a key process in infection by enterohemorrhagic Escherichia coli Caused (EHEC). That Several factors mediate the adhesion of EHEC binding to intestinal cells Have Been described, but the receptors Involved in Their recognition are not fully Characterized. Extracellular matrix (ECM) proteins act as receptors Might Involved in the recognition of Enteric Pathogens, Including EHEC. In This study, we Sought to characterize the binding of EHEC O157: H7 to ECM proteins commonly present in the intestine. We found That EHEC prototype as well as other strains clinical isolates Adhered more abundantly to surfaces coated With fibronectin, laminin, and collagen IV. Further characterization of esta phenotype, by using antiserum raised against the putative LpfA1 major fimbrial subunit and by Addition of mannose, Showed That a reduced binding of EHEC to ECM proteins was Observed in a long polar fimbriae (LPF) mutant. We also found That the two regulators, H-NS and Ler Had an effect in EHEC LPF-mediated binding to ECM, supporting the role of fimbriae These tightly regulated as adherence factors. Purified Lpf major subunit bound to all of the ECM proteins tested. Finally, Increased bacterial adherence was Observed When T84 cells, preincubated With ECM proteins, Were Infected With EHEC. Taken together, These findings Suggest That the interaction of Lpf and ECM proteins Contributes to the EHEC colonization of the gastrointestinal tract. © 2011, American Society for Microbiology.;INFECTION AND IMMUNITY;2011;Artículo;Infectious diseases;0;ehec;ecm;protein;adher;bind;protein;107;5;0.0237355811889973;12;6;6;8;18;4
846;256;Differentiation of Trypanosoma cruzi and Trypanosoma rangeli of Colombia using minicircle hybridization tests;Trypanosoma, Although rangeli is harmless for humans, it is a serious problem since it May be confused With diagnosis of Trypanosoma cruzi, the etiologic agent of Chagas disease. Both parasites overlap geographically, share antigenic protein, and are able to infect the same triatomine vector and vertebrate host, Including human. Our objective was to differentiate T. cruzi and T. rangeli isolates from Colombia based on polymerase chain reaction (PCR) amplification of the minicircles followed by hybridization tests Appropriate With selected DNA probes and restriction fragment length polymorphism (RFLP) analysis. We worked With highly Characterized T. cruzi and T. rangeli isolates from different geographic areas and biologic origins of Colombia, and RFLP They Were Analyzed by PCR amplification of and region of minicircles and Southern blot analysis variable. Our results and experimental conditions Demonstrate the usefulness of PCR amplification of the minicircles by Southern blot analysis followed to differentiate from T. cruzi T. rangeli, Which can be highly Important to Improve diagnosis of Chagas disease. © 2 Elsevier Inc.;DIAGNOSTIC MICROBIOLOGY AND INFECTIOUS DISEASE;2010;Artículo;Infectious diseases;0;cruzi;rang;amplif;minicircl;pcr;;0;0;0;6;4;17;4;5;8
847;388;Community-acquired pneumonia in Chile: the clinical relevance in the detection of viruses and atypical bacteria;Background Adult Community-acquired pneumonia (CAP) is a worldwide cause of Relevant Morbidity and Mortality, however Often the aetiology remains uncertain and the therapy is empirical. We applied conventional and molecular diagnostics to identify identity viruses and bacteria associated with cap atypical in Chile. Methods We used sputum and blood cultures, IgG / IgM serology and molecular techniques diagnostic (PCR, reverse transcriptase PCR) for detection of classical and atypical bacteria (Mycoplasma pneumoniae, Chlamydia pneumoniae, Legionella pneumoniae) and respiratory viruses (adenovirus, respiratory syncytial virus ( RSV), human metapneumovirus, influenza virus, parainfluenza, rhinovirus, coronavirus) in adults> 18 years old presenting with cap in Santiago from February 2005 to September 2007. Severity at admission was qualified by Fine's pneumonia severity index. Results Overall detection in 356 enrolled adults Were 92 (26%) cases of a bacterial single pathogen, 80 (22%) cases of a viral single pathogen, 60 (17%) cases With bacterial mixed and viral infection and 124 (35%) With no pathogen Identified cases. Streptococcus pneumoniae and RSV Were The most common bacterial and viral pathogens identified. Detection by PCR infectious agent provided greater than conventional techniques sensitivity. To our surprise, no relationship was Observed Between clinical severity and sole or coinfections. Conclusions The use of molecular diagnostics expanded the detection of viruses and atypical bacteria in adults with cap, as unique or coinfections. Clinical severity and outcome of the independent Were aetiological agents detected.;THORAX;2013;Artículo;Infectious diseases;0;pneumonia;virus;adult;cap;pathogen;;0;0;0;9;8;9;5;1;42
848;430;Worldwide human papillomavirus genotype attribution in over 2000 cases of intraepithelial and invasive lesions of the vulva;Background Human papillomavirus (HPV) in vulvar intraepithelial lesions contribution (VIN) and invasive vulvar cancer (IVC) is not established Cleary. This study Provides data on HPV novel markers in a large series of VIN lesions and IVC. Methods Histologically confirmed VIN and IVC from 39 Countries Were assembled at the Catalan Institute of Oncology (ICO). HPV-DNA detection was done by polymerase chain reaction using SPF-10 broad-spectrum primers and reverse hybridisation genotyping by line probe assay (LiPA 25) (version 1). IVC cases Were tested for p16INK4a by immunohistochemistry (CINtec Histology kit, ROCHE). An IVC was driven Considered if HPV DNA and HPV-Both p16INK4a overexpression Were Observed Simultaneously. Data analyzes included algorithms to calculate allocating multiple infections type-specific logistic regression models and contribution to estimate adjusted prevalence (AP) and Its 95% confidence intervals (CI). Results Of 2296 cases, 587 Were VIN and 1709 IVC. HPV-DNA was detected in 86.7% and 28.6% of the cases respectively. Amongst IVC cases, 25.1% Were Both DNA and HPV-positive p16INK4a. Were IVC cases squamous cell carcinoma Largely keratinising (KSCC) (N = 1234). Overall prevalence of HPV related IVC cases was highest in younger women for any histological subtype. With SCC warty or basaloid features (SCC-WB) (N = 326) Were more likely to be HPV positive and p16 INK4a (AP = 69.5%, CI = 63.6-74.8) versus KSCC (AP = 11.5%, CI = 9.7- 13.5). HPV 16 was the commonest type (72.5%) followed by HPV 33 (6.5%) and HPV 18 (4.6%). Enrichment from VIN to IVC was Significantly high for HPV 45 (8.5-fold). Conclusion Combined data from HPV-DNA testing and p16INK4a are likely to Represent a closer estimate of the actual fraction of IVC induced by HPV. Our results Indicate That contribution HPV in vulvar cancer invasive Been've probably overestimated. HPV 16 remains the major player worldwide. © 2 Elsevier Ltd. All rights reserved.;EUROPEAN JOURNAL OF CANCER;2013;Artículo;Infectious diseases;0;hpv;ivc;dna;vin;pinka;;0;0;0;7;8;20;6;6;17
849;469;Human papillomavirus-16 presence and physical status in lung carcinomas from Asia;Background. , Although human papillomavirus (HPV) genome HAS BEEN DETECTED in lung cancer, STI prevalence is highly variable-around the world. Higher frequencies Have Been Reported in far-east Asian Countries, When Compared With European Countries. The present study analysed the HPV-16 in 60 lung carcinomas presence from the Asian Countries China, Pakistan and Papua New Guinea. Results. HPV-16 was present in 8/59 (13%) samples. According To histological type, HPV-16 was detected in 8/18 (44%) squamous cell carcinomas (SQCS), Which Were mainly from Pakistan 0/38 (0%) adenocarcinomas (ACs), Which Were mainly from China and in 0/4 (0%) small cell carcinomas (SCLCs). The difference was statistically Observed histological significant (p <0.001). HPV-16 viral load was determined to Present using actual-time polymerase chain reaction (qRT-PCR) it ranged Between 411 to 2345 copies / 100 ng of genomic DNA. HPV-16 genome was found integrated into the host genome in every HPV-16 positive carcinoma. Conclusion. These results support the notion That HPV-16 infection is highly associated With SQCS in Pakistan. Our results show a frequent HPV-16 integration in SQCS, low viral load, Although the casts doubt respect to direct etiological role of HPV in lung carcinomas from Asia. Additional HPV16 characterization is Necessary to Establish a direct or indirect etiological role of HPV in esta malignancy. © 2 Aguayo et al licensee BioMed Central Ltd.;INFECTIOUS AGENTS AND CANCER;2010;Artículo;Infectious diseases;0;hpv;carcinoma;genom;countri;lung;;0;0;0;7;8;20;6;6;17
850;472;Cytomegalovirus Infection in Children Undergoing Hematopoietic Stem Cell Transplantation in Chile;Background. Cytomegalovirus (CMV) infection remains as an Important cause of morbidity and mortality in children Undergoing hematopoietic stem cell transplantation (HSCT). Our aim was to ASSESS the incidence, risk factors, and outcome related to CMV infection in children after HSCT in a developing country. Methods. From October 1 1999 to December 31, 2005, we prospectively Patients Studied all HSCT ADMITTED to the unit at Luis Calvo Mackenna Hospital in Santiago, Chile. Serologic studies before transplantation and weekly CMV Infection Surveillance (antigenemia or quantitative PCR) Were Obtained Routinely. Patients With antigenemia positive or quantitative PCR received pre-emptive Therapy With ganciclovir, and cases of unfavorable clinical evolution, persistent positive antigenemia, or PCR quantitative after 14 days of ganciclovir Were Treated With foscarnet. Results. Ninety-seven Patients received HSCT. Their median age was 8 years (range, 3 months to 24 years) and Their overall survival was 67%. CMV reactivation was diagnosed in 26 patients. Of these, three developed CMV disease (two interstitial pneumonia, hemorrhagic cystitis one). One of the Patients With pneumonia died. Risk factors Identified Were pre-transplant serologic status (positive recipient), acute and chronic graft versus host disease (GvHD), GvHD prophylaxis, treatment and antithymocyte globulin With. Conclusions. The rate and prognosis of CMV infection Among children Treated at our HSCT unit is similar to Those Reported from Industrialized Countries. These findings Reflect adequate prevention and management of CMV infection Within our program. © 2009 Wiley-Liss, Inc.;PEDIATRIC BLOOD & CANCER;2009;Artículo;Infectious diseases;0;cmv;hsct;infect;antigenemia;children;children;177;0;0.0392635314995563;9;8;9;5;1;34
851;484;Near-Universal Prevalence of Pneumocystis and Associated Increase in Mucus in the Lungs of Infants With Sudden Unexpected Death;Background. Accompanying Pneumocystis without obvious pathology is occasionally Reported in infant autopsied lungs. Its prevalence and significance are unknown. Interestingly, This infection induces mild to strong activation of mucus secretion-related genes in young immunocompetent rodents That Has Been Explored not in infants. Excess mucus is induced by multiple offenders through nonspecific airway pathways and would Explain to cofactor role of Pneumocystis in respiratory disease. We undertook characterization of the prevalence of pneumonia and associated mucus in infant lungs.Methods. Samples from 128 infants (mean age, 101 days) who died unexpectedly in Santiago Suddenly and Were Examined During 1999-2004 for Pneumocystis using nested polymerase chain reaction (nPCR) amplification of the P. jirovecii mtLSU ribosomal RNA gene and immunofluorescence microscopy (IF) . Pneumocystis-negative infants 28 days and older and Their age-positives closest Were Studied for MUC5AC expression and Pneumocystis burden by Western blot and quantitative PCR, respectively.Results. Pneumocystis DNA was detected by nPCR in 105 of the 128 infants (82.0%) and Pneumocystis organisms Were Visualized by IF in 99 (94.3%) of the DNA-positive infants. The infection was 3-4 months With commonest at 40 of 41 (97.6%) infants of age That testing positive. MUC5AC was Significantly Increased in Pneumocystis-positive tissue specimens (P =. ). Death was unexplained in 113 (88.3%) infants Pneumocystis was detected in 95 (84.0%) of them vs 10 of 15 (66.7%) With Explained death (P =. 28) .Conclusions. A focal highly Pneumocystis infection associated to Increased mucus expression is almost universally present in the lungs of infants dying unexpectedly in the community Regardless of Autopsy diagnosis. © 2012 The Author. Published by Oxford University Press on Behalf of the Infectious Diseases Society of America.;CLINICAL INFECTIOUS DISEASES;2013;Artículo;Infectious diseases;0;infant;pneumocysti;mucus;posit;age;age;151;2;0.0334960070984916;9;8;9;10;1;33
